cell,latitude,longitude
81376,6.939803838,80.12912182
81377,6.939803838,80.13810494
81378,6.939803838,80.14708805
81379,6.939803838,80.15607116
81380,6.939803838,80.16505427
81381,6.939803838,80.17403738
81382,6.939803838,80.1830205
81383,6.939803838,80.19200361
81384,6.939803838,80.20098672
81385,6.939803838,80.20996983
81386,6.939803838,80.21895294
81387,6.939803838,80.22793606
81595,6.930820726,79.84166224
81596,6.930820726,79.85064535
81597,6.930820726,79.85962846
81598,6.930820726,79.86861158
81599,6.930820726,79.87759469
81600,6.930820726,79.8865778
81601,6.930820726,79.89556091
81602,6.930820726,79.90454402
81603,6.930820726,79.91352714
81604,6.930820726,79.92251025
81605,6.930820726,79.93149336
81606,6.930820726,79.94047647
81607,6.930820726,79.94945958
81608,6.930820726,79.9584427
81609,6.930820726,79.96742581
81610,6.930820726,79.97640892
81611,6.930820726,79.98539203
81612,6.930820726,79.99437514
81613,6.930820726,80.00335826
81614,6.930820726,80.01234137
81615,6.930820726,80.02132448
81623,6.930820726,80.09318938
81624,6.930820726,80.10217249
81625,6.930820726,80.1111556
81626,6.930820726,80.12013871
81627,6.930820726,80.12912182
81628,6.930820726,80.13810494
81629,6.930820726,80.14708805
81630,6.930820726,80.15607116
81631,6.930820726,80.16505427
81632,6.930820726,80.17403738
81633,6.930820726,80.1830205
81634,6.930820726,80.19200361
81635,6.930820726,80.20098672
81636,6.930820726,80.20996983
81846,6.921837614,79.84166224
81847,6.921837614,79.85064535
81848,6.921837614,79.85962846
81849,6.921837614,79.86861158
81850,6.921837614,79.87759469
81851,6.921837614,79.8865778
81852,6.921837614,79.89556091
81853,6.921837614,79.90454402
81854,6.921837614,79.91352714
81855,6.921837614,79.92251025
81856,6.921837614,79.93149336
81857,6.921837614,79.94047647
81858,6.921837614,79.94945958
81859,6.921837614,79.9584427
81860,6.921837614,79.96742581
81861,6.921837614,79.97640892
81862,6.921837614,79.98539203
81863,6.921837614,79.99437514
81864,6.921837614,80.00335826
81865,6.921837614,80.01234137
81866,6.921837614,80.02132448
81867,6.921837614,80.03030759
81868,6.921837614,80.0392907
81874,6.921837614,80.09318938
81875,6.921837614,80.10217249
81876,6.921837614,80.1111556
81877,6.921837614,80.12013871
81878,6.921837614,80.12912182
81879,6.921837614,80.13810494
81880,6.921837614,80.14708805
81881,6.921837614,80.15607116
81882,6.921837614,80.16505427
81883,6.921837614,80.17403738
81884,6.921837614,80.1830205
81885,6.921837614,80.19200361
81886,6.921837614,80.20098672
81887,6.921837614,80.20996983
82098,6.912854502,79.85064535
82099,6.912854502,79.85962846
82100,6.912854502,79.86861158
82101,6.912854502,79.87759469
82102,6.912854502,79.8865778
82103,6.912854502,79.89556091
82104,6.912854502,79.90454402
82105,6.912854502,79.91352714
82106,6.912854502,79.92251025
82107,6.912854502,79.93149336
82108,6.912854502,79.94047647
82109,6.912854502,79.94945958
82110,6.912854502,79.9584427
82111,6.912854502,79.96742581
82112,6.912854502,79.97640892
82113,6.912854502,79.98539203
82114,6.912854502,79.99437514
82115,6.912854502,80.00335826
82116,6.912854502,80.01234137
82117,6.912854502,80.02132448
82118,6.912854502,80.03030759
82119,6.912854502,80.0392907
82120,6.912854502,80.04827382
82121,6.912854502,80.05725693
82122,6.912854502,80.06624004
82123,6.912854502,80.07522315
82124,6.912854502,80.08420626
82125,6.912854502,80.09318938
82126,6.912854502,80.10217249
82127,6.912854502,80.1111556
82128,6.912854502,80.12013871
82129,6.912854502,80.12912182
82130,6.912854502,80.13810494
82131,6.912854502,80.14708805
82132,6.912854502,80.15607116
82133,6.912854502,80.16505427
82134,6.912854502,80.17403738
82135,6.912854502,80.1830205
82136,6.912854502,80.19200361
82137,6.912854502,80.20098672
82138,6.912854502,80.20996983
82349,6.90387139,79.85064535
82350,6.90387139,79.85962846
82351,6.90387139,79.86861158
82352,6.90387139,79.87759469
82353,6.90387139,79.8865778
82354,6.90387139,79.89556091
82355,6.90387139,79.90454402
82356,6.90387139,79.91352714
82357,6.90387139,79.92251025
82358,6.90387139,79.93149336
82359,6.90387139,79.94047647
82360,6.90387139,79.94945958
82361,6.90387139,79.9584427
82362,6.90387139,79.96742581
82363,6.90387139,79.97640892
82364,6.90387139,79.98539203
82365,6.90387139,79.99437514
82366,6.90387139,80.00335826
82367,6.90387139,80.01234137
82368,6.90387139,80.02132448
82369,6.90387139,80.03030759
82370,6.90387139,80.0392907
82371,6.90387139,80.04827382
82372,6.90387139,80.05725693
82373,6.90387139,80.06624004
82374,6.90387139,80.07522315
82375,6.90387139,80.08420626
82376,6.90387139,80.09318938
82377,6.90387139,80.10217249
82378,6.90387139,80.1111556
82379,6.90387139,80.12013871
82380,6.90387139,80.12912182
82381,6.90387139,80.13810494
82382,6.90387139,80.14708805
82383,6.90387139,80.15607116
82384,6.90387139,80.16505427
82385,6.90387139,80.17403738
82386,6.90387139,80.1830205
82387,6.90387139,80.19200361
82388,6.90387139,80.20098672
82600,6.894888278,79.85064535
82601,6.894888278,79.85962846
82602,6.894888278,79.86861158
82603,6.894888278,79.87759469
82604,6.894888278,79.8865778
82605,6.894888278,79.89556091
82606,6.894888278,79.90454402
82607,6.894888278,79.91352714
82608,6.894888278,79.92251025
82609,6.894888278,79.93149336
82610,6.894888278,79.94047647
82611,6.894888278,79.94945958
82612,6.894888278,79.9584427
82613,6.894888278,79.96742581
82614,6.894888278,79.97640892
82615,6.894888278,79.98539203
82616,6.894888278,79.99437514
82617,6.894888278,80.00335826
82618,6.894888278,80.01234137
82619,6.894888278,80.02132448
82620,6.894888278,80.03030759
82621,6.894888278,80.0392907
82622,6.894888278,80.04827382
82623,6.894888278,80.05725693
82624,6.894888278,80.06624004
82625,6.894888278,80.07522315
82626,6.894888278,80.08420626
82627,6.894888278,80.09318938
82628,6.894888278,80.10217249
82629,6.894888278,80.1111556
82630,6.894888278,80.12013871
82631,6.894888278,80.12912182
82632,6.894888278,80.13810494
82633,6.894888278,80.14708805
82634,6.894888278,80.15607116
82635,6.894888278,80.16505427
82636,6.894888278,80.17403738
82637,6.894888278,80.1830205
82638,6.894888278,80.19200361
82851,6.885905166,79.85064535
82852,6.885905166,79.85962846
82853,6.885905166,79.86861158
82854,6.885905166,79.87759469
82855,6.885905166,79.8865778
82856,6.885905166,79.89556091
82857,6.885905166,79.90454402
82858,6.885905166,79.91352714
82859,6.885905166,79.92251025
82860,6.885905166,79.93149336
82861,6.885905166,79.94047647
82862,6.885905166,79.94945958
82863,6.885905166,79.9584427
82864,6.885905166,79.96742581
82865,6.885905166,79.97640892
82866,6.885905166,79.98539203
82867,6.885905166,79.99437514
82868,6.885905166,80.00335826
82869,6.885905166,80.01234137
82870,6.885905166,80.02132448
82871,6.885905166,80.03030759
82872,6.885905166,80.0392907
82873,6.885905166,80.04827382
82874,6.885905166,80.05725693
82875,6.885905166,80.06624004
82876,6.885905166,80.07522315
82877,6.885905166,80.08420626
82878,6.885905166,80.09318938
82879,6.885905166,80.10217249
82880,6.885905166,80.1111556
82881,6.885905166,80.12013871
82882,6.885905166,80.12912182
82883,6.885905166,80.13810494
82884,6.885905166,80.14708805
82885,6.885905166,80.15607116
82886,6.885905166,80.16505427
82887,6.885905166,80.17403738
82888,6.885905166,80.1830205
82889,6.885905166,80.19200361
83103,6.876922054,79.85962846
83104,6.876922054,79.86861158
83105,6.876922054,79.87759469
83106,6.876922054,79.8865778
83107,6.876922054,79.89556091
83108,6.876922054,79.90454402
83109,6.876922054,79.91352714
83110,6.876922054,79.92251025
83111,6.876922054,79.93149336
83112,6.876922054,79.94047647
83113,6.876922054,79.94945958
83114,6.876922054,79.9584427
83115,6.876922054,79.96742581
83116,6.876922054,79.97640892
83117,6.876922054,79.98539203
83118,6.876922054,79.99437514
83119,6.876922054,80.00335826
83120,6.876922054,80.01234137
83121,6.876922054,80.02132448
83122,6.876922054,80.03030759
83123,6.876922054,80.0392907
83124,6.876922054,80.04827382
